year,importer1,id1,importer2,id2,flow1,flow2
2013,United States of America,USA,Iran,IRN,2.0999999,344.51999
2013,United States of America,USA,Turkey,TUR,7018.1001,12598.924
2013,United States of America,USA,Iraq,IRQ,13544.2,2228.9299
2013,United States of America,USA,Egypt,EGY,1696.1,5055.8237
2013,United States of America,USA,Syria,SYR,19.799999,23.76
2013,United States of America,USA,Lebanon,LBN,96.199997,1135.97
2013,United States of America,USA,Jordan,JOR,1226.9,1365.2004
2013,United States of America,USA,Israel,ISR,22968.301,8152.7002
2013,United States of America,USA,Saudi Arabia,SAU,53098.199,20886.801
2013,United States of America,USA,Yemen,YEM,69.400002,567.48999
2013,United States of America,USA,Kuwait,KWT,12941.7,2853.6201
2013,United States of America,USA,Bahrain,BHR,665.79999,1119.58
